date, pm25, pm10, o3, no2, so2, co
2021/4/10,22.00 ,25.00 , ,10, , 
2021/4/11,26.00 ,11.00 , ,8, , 
2021/4/12,17.00 ,32.00 , ,11, , 
2021/4/13,24.00 ,30.00 , ,12, , 
2021/4/14,30.00 ,27.00 , ,9, , 
2021/4/15,26.00 ,34.00 , ,13, , 
2021/4/16,27.00 ,20.00 , ,7, , 
2021/4/17,25.00 ,29.00 , ,12, , 
2021/4/18,29.00 ,42.00 , ,15, , 
2021/4/19,36.00 ,31.00 , ,9, , 
2021/4/20,33.00 ,28.00 , ,8, , 
2021/4/21,26.00 ,24.00 , ,8, , 
2021/4/22,22.00 ,25.00 , ,9, , 
2021/4/23,22.00 ,17.00 , ,7, , 
2021/4/24,18.00 ,15.00 , ,6, , 
2021/4/25,17.00 ,22.00 , ,9, , 
2021/4/26,19.00 ,30.00 , ,14, , 
2021/4/27,26.00 ,26.00 , ,11, , 
2021/4/28,24.00 ,26.00 , ,12, , 
2021/4/29,18.00 ,16.00 , ,5, , 
2021/4/30,16.00 ,14.00 , ,5, , 
2021/5/1,20.00 ,15.00 , ,4, , 
2021/5/2,27.00 ,19.00 , ,11, , 
2021/5/3,27.00 ,24.00 , ,13, , 
2021/5/4,24.00 ,10.00 , ,6, , 
2021/5/5,22.00 ,18.00 , ,9, , 
2021/5/6,26.00 ,15.00 , ,6, , 
2021/5/7,28.00 ,13.00 , ,3, , 
2021/5/8,27.00 ,13.00 , ,10, , 
2021/5/9,25.00 ,15.00 , ,15, , 
2021/5/10,32.00 ,20.00 , ,7, , 
2021/5/11,34.00 ,18.00 , ,16, , 
2021/5/12,26.00 ,18.00 , ,9, , 
2021/5/13,28.00 ,28.00 , ,14, , 
2021/5/14,48.00 ,11.00 , ,9, , 
2021/5/15,25.00 ,15.00 , ,4, , 
2021/5/16,20.00 ,7.00 , ,6, , 
2021/5/17,19.00 ,9.00 , ,4, , 
2021/5/18,22.00 ,12.00 , ,3, , 
2021/5/19,27.00 ,12.00 , ,5, , 
2021/5/20,22.00 ,13.00 , ,5, , 
2021/5/21,22.00 ,12.00 , ,9, , 
2021/5/22,25.00 ,12.00 , ,6, , 
2021/5/23,25.00 ,11.00 , ,5, , 
2021/5/24,26.00 ,13.00 , ,9, , 
2021/5/25,26.00 , , ,11, , 
2021/5/26,19.00 , , ,11, , 
2021/5/27,25.00 ,15.00 , ,11, , 
2021/5/28,27.00 ,16.00 , ,11, , 
2021/5/29,29.00 ,25.00 , ,11, , 
2021/5/30,38.00 ,22.00 , ,9, , 
2021/5/31,44.00 ,25.00 , ,10, , 
2021/6/1,39.00 ,24.00 , ,10, , 
2021/6/2,30.00 ,22.00 , ,7, , 
2021/6/3,32.00 ,24.00 , ,9, , 
2021/6/4,38.00 ,21.00 , ,8, , 
2021/6/5,39.00 ,19.00 , ,4, , 
2021/6/6,44.00 ,17.00 , ,3, , 
2021/6/7,45.00 ,14.00 , ,2, , 
2021/6/8,34.00 ,16.00 , ,3, , 
2021/6/9,39.00 ,15.00 , ,2, , 
2021/6/10,34.00 ,14.00 , ,2, , 
2021/6/11,33.00 ,13.00 , ,3, , 
2021/6/12,18.00 ,10.00 , ,1, , 
2021/6/13,21.00 ,9.00 , ,1, , 
2021/6/14,17.00 ,12.00 , ,5, , 
2021/6/15,18.00 ,15.00 , ,4, , 
2021/6/16,30.00 ,20.00 , ,5, , 
2021/6/17,39.00 ,20.00 , ,4, , 
2021/6/18,53.00 ,14.00 , ,6, , 
2021/6/19,33.00 ,8.00 , ,6, , 
2021/6/20,18.00 ,10.00 , ,5, , 
2021/6/21,24.00 ,13.00 , ,10, , 
2021/6/22,23.00 ,14.00 , ,6, , 
2021/6/23,25.00 ,14.00 , ,1, , 
2021/6/24,32.00 ,12.00 , ,1, , 
2021/6/25,30.00 ,12.00 , ,3, , 
2021/6/26,31.00 ,13.00 , ,1, , 
2021/6/27,31.00 ,15.00 , ,4, , 
2021/6/28,35.00 ,15.00 , ,3, , 
2021/6/29,34.00 ,12.00 , ,7, , 
2021/6/30,21.00 ,18.00 , ,12, , 
2021/1/4,31.00 ,18.00 , ,18, , 
2021/1/5,34.00 ,14.00 , ,15, , 
2021/1/6,28.00 ,15.00 , ,11, , 
2021/1/7,21.00 ,34.00 , ,13, , 
2021/1/8,32.00 ,15.00 , ,9, , 
2021/1/9,32.00 ,26.00 , ,24, , 
2021/1/10,58.00 ,15.00 , ,19, , 
2021/1/11,31.00 ,20.00 , ,31, , 
2021/1/12,50.00 ,11.00 , ,8, , 
2021/1/13,26.00 ,35.00 , ,15, , 
2021/1/14,39.00 ,37.00 , ,29, , 
2021/1/15,69.00 ,28.00 , ,28, , 
2021/1/16,70.00 ,13.00 , ,15, , 
2021/1/17,40.00 ,23.00 , ,20, , 
2021/1/18,49.00 ,26.00 , ,17, , 
2021/1/19,31.00 ,13.00 , ,10, , 
2021/1/20,20.00 ,10.00 , ,8, , 
2021/1/21,18.00 ,16.00 , ,1, , 
2021/1/22,28.00 , , , , , 
2021/2/16,47.00 ,19.00 , ,16, , 
2021/2/17,27.00 ,26.00 , ,21, , 
2021/2/18,33.00 ,19.00 , ,14, , 
2021/2/19,33.00 ,10.00 , ,4, , 
2021/2/20,28.00 ,23.00 , ,8, , 
2021/2/21,47.00 ,19.00 , ,20, , 
2021/2/22,50.00 ,13.00 , ,11, , 
2021/2/23,39.00 ,14.00 , ,4, , 
2021/2/24,30.00 ,13.00 , ,9, , 
2021/2/25,29.00 ,33.00 , ,19, , 
2021/2/26,38.00 ,32.00 , ,17, , 
2021/2/27,42.00 ,45.00 , ,18, , 
2021/2/28,56.00 ,44.00 , ,21, , 
2021/3/1,45.00 ,51.00 , ,27, , 
2021/3/2,38.00 ,13.00 , ,11, , 
2021/3/3,23.00 ,47.00 , ,13, , 
2021/3/4,15.00 ,40.00 , ,15, , 
2021/3/5,20.00 ,36.00 , ,15, , 
2021/3/6,26.00 ,41.00 , ,11, , 
2021/3/7,27.00 ,38.00 , ,13, , 
2021/3/8,26.00 ,36.00 , ,14, , 
2021/3/9,28.00 ,18.00 , ,9, , 
2021/3/10,18.00 ,14.00 , ,15, , 
2021/3/11,22.00 ,11.00 , ,15, , 
2021/3/12,26.00 ,16.00 , ,18, , 
2021/3/13,39.00 ,16.00 , ,9, , 
2021/3/14,38.00 ,39.00 , ,18, , 
2021/3/15,30.00 ,31.00 , ,16, , 
2021/3/16,26.00 ,30.00 , ,10, , 
2021/3/17,26.00 ,36.00 , ,13, , 
2021/3/18,24.00 ,13.00 , ,2, , 
2021/3/19,17.00 ,32.00 , ,14, , 
2021/3/20,36.00 ,38.00 , ,9, , 
2021/3/21,23.00 ,37.00 , ,10, , 
2021/3/22,26.00 ,27.00 , ,10, , 
2021/3/23,24.00 ,20.00 , ,6, , 
2021/3/24,27.00 ,26.00 , ,10, , 
2021/3/25,31.00 ,19.00 , ,9, , 
2021/3/26,33.00 ,18.00 , ,10, , 
2021/3/27,30.00 ,14.00 , ,7, , 
2021/3/28,28.00 ,13.00 , ,5, , 
2021/3/29,25.00 ,24.00 , ,6, , 
2021/3/30,23.00 ,37.00 , ,13, , 
2021/3/31,27.00 ,18.00 , ,8, , 
2020/10/1,33.00 ,54.00 , ,8, , 
2020/10/2,62.00 ,63.00 , ,4, , 
2020/10/3,79.00 ,16.00 , ,3, , 
2020/10/4,39.00 ,12.00 , ,9, , 
2020/10/5,26.00 ,11.00 , ,12, , 
2020/10/6,27.00 ,13.00 , ,14, , 
2020/10/7,34.00 ,8.00 , ,4, , 
2020/10/8,19.00 ,8.00 , ,3, , 
2020/10/9,17.00 ,10.00 , ,10, , 
2020/10/10,24.00 ,10.00 , ,11, , 
2020/10/11,21.00 ,20.00 , ,16, , 
2020/10/12,34.00 ,22.00 , ,18, , 
2020/10/13,34.00 ,23.00 , ,19, , 
2020/10/14,28.00 ,26.00 , ,21, , 
2020/10/15,33.00 ,24.00 , ,21, , 
2020/10/16,35.00 ,19.00 , ,13, , 
2020/10/17,31.00 ,19.00 , ,15, , 
2020/10/18,24.00 ,29.00 , ,21, , 
2020/10/19,36.00 ,12.00 , ,18, , 
2020/10/20,31.00 ,14.00 , ,17, , 
2020/10/21,30.00 ,11.00 , ,12, , 
2020/10/22,26.00 ,14.00 , ,11, , 
2020/10/23,22.00 ,11.00 , ,8, , 
2020/10/24,23.00 ,10.00 , ,3, , 
2020/10/25,20.00 ,17.00 , ,20, , 
2020/10/26,33.00 ,10.00 , ,7, , 
2020/10/27,21.00 ,13.00 , ,5, , 
2020/10/28,25.00 ,19.00 , ,11, , 
2020/10/29,31.00 ,22.00 , ,13, , 
2020/10/30,36.00 ,10.00 , ,10, , 
2020/10/31,21.00 ,8.00 , ,2, , 
2020/11/1,17.00 ,9.00 , ,3, , 
2020/11/2,18.00 ,11.00 , ,4, , 
2020/11/3,22.00 ,40.00 , ,19, , 
2020/11/4,43.00 ,18.00 , ,8, , 
2020/11/5,22.00 ,41.00 , ,22, , 
2020/11/6,41.00 ,29.00 , ,13, , 
2020/11/7,41.00 ,27.00 , ,9, , 
2020/11/8,45.00 ,33.00 , ,13, , 
2020/11/9,35.00 ,35.00 , ,14, , 
2020/11/10,39.00 ,11.00 , ,11, , 
2020/11/11,25.00 ,17.00 , ,11, , 
2020/11/12,23.00 ,16.00 , ,12, , 
2020/11/13,27.00 ,17.00 , ,10, , 
2020/11/14,32.00 ,12.00 , ,5, , 
2020/11/15,29.00 ,9.00 , ,2, , 
2020/11/16,22.00 ,10.00 , ,9, , 
2020/11/17,23.00 ,12.00 , ,8, , 
2020/11/18,23.00 ,18.00 , ,8, , 
2020/11/19,15.00 ,47.00 , ,23, , 
2020/11/20,35.00 ,5.00 , ,3, , 
2020/11/21,9.00 ,5.00 , ,1, , 
2020/11/22,14.00 ,48.00 , ,22, , 
2020/11/23,38.00 ,57.00 , ,24, , 
2020/11/24,55.00 ,25.00 , ,6, , 
2020/11/25,37.00 ,63.00 , ,26, , 
2020/11/26,45.00 ,56.00 , ,25, , 
2020/11/27,61.00 ,38.00 , ,15, , 
2020/11/28,50.00 ,19.00 , ,8, , 
2020/11/29,34.00 ,19.00 , ,17, , 
2020/11/30,38.00 ,19.00 , ,25, , 
2020/12/1,44.00 ,8.00 , ,5, , 
2020/12/2,23.00 ,21.00 , ,9, , 
2020/12/3,54.00 ,16.00 , ,11, , 
2020/12/4,39.00 ,13.00 , ,8, , 
2020/12/5,32.00 ,18.00 , ,7, , 
2020/12/6,43.00 ,10.00 , ,10, , 
2020/12/7,23.00 ,12.00 , ,11, , 
2020/12/8,25.00 ,13.00 , ,13, , 
2020/12/9,26.00 ,13.00 , ,14, , 
2020/12/10,31.00 ,12.00 , ,9, , 
2020/12/11,30.00 ,11.00 , ,6, , 
2020/12/12,29.00 ,13.00 , ,8, , 
2020/12/13,25.00 ,12.00 , ,14, , 
2020/12/14,23.00 ,13.00 , ,18, , 
2020/12/15,30.00 ,7.00 , ,11, , 
2020/12/16,22.00 ,14.00 , ,17, , 
2020/12/17,27.00 ,11.00 , ,14, , 
2020/12/18,28.00 ,10.00 , ,5, , 
2020/12/19,28.00 ,12.00 , ,2, , 
2020/12/20,26.00 ,13.00 , ,8, , 
2020/12/21,19.00 ,11.00 , ,11, , 
2020/12/22,20.00 ,15.00 , ,19, , 
2020/12/23,33.00 ,15.00 , ,17, , 
2020/12/24,34.00 ,29.00 , ,20, , 
2020/12/25,32.00 ,10.00 , ,12, , 
2020/12/26,23.00 ,5.00 , ,2, , 
2020/12/27,12.00 ,9.00 , ,9, , 
2020/12/28,24.00 ,7.00 , ,5, , 
2020/12/29,18.00 ,7.00 , ,6, , 
2020/12/30,19.00 ,7.00 , ,5, , 
2020/12/31,20.00 ,14.00 , ,8, , 
2021/1/1,33.00 ,8.00 , ,8, , 
2021/1/2,25.00 ,12.00 , ,17, , 
2021/1/3,34.00 ,13.00 , ,21, , 
2020/7/1,17.00 ,11.00 , ,9, , 
2020/7/2,18.00 ,7.00 , ,4, , 
2020/7/3,15.00 ,5.00 , ,3, , 
2020/7/4,14.00 , , ,5, , 
2020/7/5,15.00 , , ,7, , 
2020/7/6,18.00 ,9.00 , ,6, , 
2020/7/7,17.00 ,10.00 , ,6, , 
2020/7/8,18.00 ,9.00 , ,6, , 
2020/7/9,18.00 ,11.00 , ,7, , 
2020/7/10,21.00 ,7.00 , ,3, , 
2020/7/11,16.00 ,7.00 , ,2, , 
2020/7/12,16.00 ,9.00 , ,4, , 
2020/7/13,20.00 ,11.00 , ,10, , 
2020/7/14,27.00 ,8.00 , ,3, , 
2020/7/15,22.00 ,9.00 , ,3, , 
2020/7/16,23.00 ,11.00 , , , , 
2020/7/17,26.00 ,12.00 , , , , 
2020/7/18,29.00 ,8.00 , ,1, , 
2020/7/19,21.00 ,9.00 , ,6, , 
2020/7/20,19.00 ,8.00 , ,6, , 
2020/7/21,16.00 ,11.00 , ,8, , 
2020/7/22,22.00 ,7.00 , ,3, , 
2020/7/23,14.00 ,8.00 , ,3, , 
2020/7/24,16.00 ,8.00 , ,1, , 
2020/7/25,19.00 ,10.00 , ,7, , 
2020/7/26,27.00 ,10.00 , ,1, , 
2020/7/27,25.00 ,11.00 , ,7, , 
2020/7/28,24.00 ,10.00 , ,9, , 
2020/7/29,23.00 ,11.00 , ,7, , 
2020/7/30,25.00 ,13.00 , ,10, , 
2020/7/31,28.00 ,11.00 , ,4, , 
2020/8/4,19.00 ,10.00 , ,2, , 
2020/8/5,26.00 ,14.00 , ,5, , 
2020/8/6,33.00 ,21.00 , ,8, , 
2020/8/7,43.00 ,20.00 , ,7, , 
2020/8/8,48.00 ,11.00 , ,7, , 
2020/8/9,26.00 ,14.00 , ,9, , 
2020/8/10,28.00 ,20.00 , ,8, , 
2020/8/11,38.00 ,19.00 , ,8, , 
2020/8/12,38.00 ,16.00 , ,7, , 
2020/8/13,28.00 ,18.00 , ,8, , 
2020/8/14,38.00 ,16.00 , ,2, , 
2020/8/15,44.00 ,14.00 , ,7, , 
2020/8/16,35.00 ,22.00 , ,14, , 
2020/8/17,42.00 ,28.00 , ,16, , 
2020/8/18,50.00 ,20.00 , ,8, , 
2020/8/19,39.00 ,11.00 , ,2, , 
2020/8/20,23.00 ,11.00 , ,8, , 
2020/8/21,28.00 ,16.00 , , , , 
2020/8/22,26.00 ,9.00 , ,5, , 
2020/8/23,19.00 ,8.00 , ,7, , 
2020/8/24,16.00 ,10.00 , ,7, , 
2020/8/25,18.00 ,15.00 , ,13, , 
2020/8/26,26.00 ,17.00 , ,13, , 
2020/8/27,28.00 ,15.00 , ,15, , 
2020/8/28,27.00 ,11.00 , ,9, , 
2020/8/29,22.00 ,11.00 , ,8, , 
2020/8/30,22.00 ,11.00 , ,9, , 
2020/8/31,21.00 ,15.00 , ,10, , 
2020/9/1,25.00 ,18.00 , ,13, , 
2020/9/2,29.00 ,14.00 , ,8, , 
2020/9/3,28.00 ,8.00 , ,5, , 
2020/9/4,21.00 ,7.00 , ,6, , 
2020/9/5,19.00 ,8.00 , ,7, , 
2020/9/6,21.00 ,11.00 , ,6, , 
2020/9/7,19.00 ,8.00 , ,5, , 
2020/9/8,18.00 ,7.00 , ,4, , 
2020/9/9,17.00 ,12.00 , ,11, , 
2020/9/10,22.00 ,12.00 , ,6, , 
2020/9/11,24.00 ,7.00 , ,1, , 
2020/9/12,20.00 ,9.00 , ,4, , 
2020/9/13,24.00 ,16.00 , ,9, , 
2020/9/14,35.00 ,14.00 , ,6, , 
2020/9/15,32.00 ,12.00 , ,5, , 
2020/9/16,21.00 ,15.00 , ,10, , 
2020/9/17,18.00 ,16.00 , ,14, , 
2020/9/18,19.00 ,14.00 , ,14, , 
2020/9/19,24.00 ,12.00 , ,7, , 
2020/9/20,25.00 ,10.00 , ,5, , 
2020/9/21,18.00 ,10.00 , ,2, , 
2020/9/22,22.00 ,14.00 , ,2, , 
2020/9/23,39.00 ,14.00 , ,5, , 
2020/9/24,33.00 ,13.00 , ,12, , 
2020/9/25,25.00 ,5.00 , ,3, , 
2020/9/26,16.00 ,16.00 , ,5, , 
2020/9/27,36.00 ,30.00 , ,12, , 
2020/9/28,48.00 ,20.00 , ,14, , 
2020/9/29,42.00 ,16.00 , ,15, , 
2020/9/30,38.00 ,16.00 , ,13, , 
2020/4/1,18.00 ,14.00 , ,3, , 
2020/4/2,17.00 ,25.00 , ,7, , 
2020/4/3,27.00 ,11.00 , ,3, , 
2020/4/4,23.00 ,18.00 , ,8, , 
2020/4/5,34.00 ,32.00 , ,14, , 
2020/4/6,45.00 ,25.00 , ,8, , 
2020/4/7,39.00 ,23.00 , ,9, , 
2020/4/8,31.00 ,16.00 , ,6, , 
2020/4/9,21.00 ,18.00 , ,10, , 
2020/4/10,24.00 ,14.00 , ,5, , 
2020/4/11,23.00 ,6.00 , ,1, , 
2020/4/12,15.00 ,19.00 , ,3, , 
2020/4/13,20.00 ,16.00 , ,11, , 
2020/4/14,18.00 ,9.00 , ,3, , 
2020/4/15,14.00 ,23.00 , ,9, , 
2020/4/16,26.00 ,23.00 , ,10, , 
2020/4/17,25.00 ,21.00 , ,10, , 
2020/4/18,25.00 ,19.00 , ,11, , 
2020/4/19,24.00 ,26.00 , ,13, , 
2020/4/20,29.00 ,39.00 , ,19, , 
2020/4/21,34.00 ,32.00 , ,20, , 
2020/4/22,28.00 ,28.00 , ,15, , 
2020/4/23,25.00 ,18.00 , ,10, , 
2020/4/24,20.00 ,17.00 , ,10, , 
2020/4/25,20.00 ,15.00 , ,7, , 
2020/4/26,23.00 ,15.00 , ,17, , 
2020/4/27,26.00 ,16.00 , ,14, , 
2020/4/28,23.00 ,14.00 , ,9, , 
2020/4/29,25.00 ,23.00 , ,16, , 
2020/4/30,28.00 ,8.00 , ,5, , 
2020/5/1,20.00 ,11.00 , ,7, , 
2020/5/2,26.00 ,15.00 , ,10, , 
2020/5/3,23.00 ,15.00 , ,10, , 
2020/5/4,19.00 ,14.00 , ,8, , 
2020/5/5,18.00 ,14.00 , ,9, , 
2020/5/6,21.00 ,16.00 , ,7, , 
2020/5/7,26.00 ,15.00 , ,6, , 
2020/5/8,22.00 ,9.00 , ,5, , 
2020/5/9,19.00 ,7.00 , ,6, , 
2020/5/10,19.00 ,12.00 , ,9, , 
2020/5/11,18.00 ,13.00 , ,10, , 
2020/5/12,20.00 ,13.00 , ,11, , 
2020/5/13,22.00 ,10.00 , ,6, , 
2020/5/14,19.00 ,11.00 , ,7, , 
2020/5/15,18.00 ,7.00 , ,1, , 
2020/5/16,18.00 ,10.00 , ,3, , 
2020/5/17,18.00 ,12.00 , ,7, , 
2020/5/18,19.00 ,16.00 , ,11, , 
2020/5/19,25.00 ,15.00 , ,9, , 
2020/5/20,22.00 ,15.00 , ,7, , 
2020/5/21,27.00 ,17.00 , ,8, , 
2020/5/22,29.00 ,15.00 , ,1, , 
2020/5/23,32.00 ,13.00 , ,5, , 
2020/5/24,28.00 ,12.00 , ,8, , 
2020/5/25,28.00 ,16.00 , ,7, , 
2020/5/26,25.00 ,20.00 , ,12, , 
2020/5/27,21.00 ,15.00 , ,8, , 
2020/5/28,18.00 ,20.00 , ,13, , 
2020/5/29,27.00 ,13.00 , ,8, , 
2020/5/30,22.00 ,16.00 , ,11, , 
2020/5/31,24.00 ,27.00 , ,18, , 
2020/6/1,32.00 ,18.00 , ,9, , 
2020/6/2,24.00 ,15.00 , ,6, , 
2020/6/3,23.00 ,19.00 , ,12, , 
2020/6/4,28.00 ,16.00 , ,13, , 
2020/6/5,27.00 ,6.00 , ,4, , 
2020/6/6,15.00 ,6.00 , , , , 
2020/6/7,19.00 ,10.00 , ,11, , 
2020/6/8,19.00 ,7.00 , ,4, , 
2020/6/9,22.00 ,16.00 , ,9, , 
2020/6/10,32.00 ,20.00 , ,17, , 
2020/6/11,33.00 ,18.00 , ,13, , 
2020/6/12,28.00 ,12.00 , ,6, , 
2020/6/13,26.00 ,15.00 , ,9, , 
2020/6/14,32.00 ,19.00 , ,13, , 
2020/6/15,32.00 ,31.00 , ,18, , 
2020/6/16,43.00 ,20.00 , ,10, , 
2020/6/17,35.00 ,10.00 , ,8, , 
2020/6/18,32.00 ,28.00 , ,15, , 
2020/6/19,38.00 , , , , , 
2020/6/22,39.00 ,10.00 , ,6, , 
2020/6/23,26.00 ,17.00 , ,5, , 
2020/6/24,36.00 ,12.00 , ,3, , 
2020/6/25,26.00 ,20.00 , ,10, , 
2020/6/26,43.00 , , ,11, , 
2020/6/28,27.00 ,10.00 , , , , 
2020/6/29,15.00 ,9.00 , , , , 
2020/6/30,17.00 ,10.00 , ,8, , 
2020/1/1,38.00 ,11.00 , ,10, , 
2020/1/2,29.00 ,9.00 , ,2, , 
2020/1/3,20.00 ,37.00 , ,29, , 
2020/1/4,36.00 ,17.00 , ,21, , 
2020/1/5,39.00 ,14.00 , ,20, , 
2020/1/6,41.00 ,11.00 , ,13, , 
2020/1/7,26.00 ,9.00 , ,5, , 
2020/1/8,27.00 ,47.00 , ,28, , 
2020/1/9,43.00 ,22.00 , ,26, , 
2020/1/10,44.00 ,13.00 , ,7, , 
2020/1/11,30.00 ,15.00 , ,18, , 
2020/1/12,33.00 ,22.00 , ,37, , 
2020/1/13,44.00 ,14.00 , ,5, , 
2020/1/14,27.00 ,12.00 , ,10, , 
2020/1/15,30.00 ,22.00 , ,13, , 
2020/1/16,38.00 ,14.00 , ,8, , 
2020/1/17,32.00 ,12.00 , ,22, , 
2020/1/18,40.00 ,32.00 , ,29, , 
2020/1/19,47.00 ,30.00 , ,30, , 
2020/1/20,40.00 ,39.00 , ,26, , 
2020/1/21,33.00 ,59.00 , ,29, , 
2020/1/22,43.00 ,55.00 , ,33, , 
2020/1/23,50.00 ,12.00 , ,14, , 
2020/1/24,21.00 ,48.00 , ,31, , 
2020/1/25,42.00 ,18.00 , ,24, , 
2020/1/26,39.00 ,15.00 , ,9, , 
2020/1/27,31.00 ,12.00 , ,20, , 
2020/1/28,24.00 ,11.00 , ,14, , 
2020/1/29,27.00 ,6.00 , ,11, , 
2020/1/30,17.00 ,9.00 , ,10, , 
2020/1/31,25.00 ,13.00 , ,13, , 
2020/2/1,33.00 ,24.00 , ,12, , 
2020/2/2,28.00 ,48.00 , ,28, , 
2020/2/3,39.00 ,30.00 , ,26, , 
2020/2/4,40.00 ,15.00 , ,24, , 
2020/2/5,34.00 ,24.00 , ,37, , 
2020/2/6,50.00 ,15.00 , ,27, , 
2020/2/7,39.00 ,8.00 , ,4, , 
2020/2/8,24.00 ,9.00 , ,2, , 
2020/2/9,23.00 ,14.00 , ,3, , 
2020/2/10,29.00 ,32.00 , ,8, , 
2020/2/11,32.00 ,25.00 , ,10, , 
2020/2/12,30.00 ,54.00 , ,23, , 
2020/2/13,40.00 ,47.00 , ,24, , 
2020/2/14,40.00 ,12.00 , ,6, , 
2020/2/15,27.00 ,11.00 , ,4, , 
2020/2/16,26.00 ,13.00 , ,1, , 
2020/2/17,30.00 ,14.00 , ,5, , 
2020/2/18,25.00 ,41.00 , ,23, , 
2020/2/19,36.00 ,18.00 , ,14, , 
2020/2/20,24.00 ,11.00 , ,5, , 
2020/2/21,26.00 ,7.00 , , , , 
2020/2/22,20.00 ,20.00 , ,10, , 
2020/2/23,28.00 ,43.00 , ,22, , 
2020/2/24,33.00 ,59.00 , ,11, , 
2020/2/25,25.00 ,41.00 , ,15, , 
2020/2/26,28.00 ,54.00 , ,24, , 
2020/2/27,37.00 ,55.00 , ,25, , 
2020/2/28,46.00 ,22.00 , ,14, , 
2020/2/29,29.00 ,14.00 , ,15, , 
2020/3/1,24.00 ,19.00 , ,6, , 
2020/3/2,39.00 ,10.00 , ,14, , 
2020/3/3,24.00 ,10.00 , ,16, , 
2020/3/4,20.00 ,15.00 , ,18, , 
2020/3/5,27.00 ,25.00 , ,19, , 
2020/3/6,36.00 ,19.00 , ,9, , 
2020/3/7,25.00 ,6.00 , ,2, , 
2020/3/8,20.00 ,13.00 , ,6, , 
2020/3/9,31.00 ,10.00 , ,14, , 
2020/3/10,18.00 ,10.00 , ,7, , 
2020/3/11,23.00 ,18.00 , ,9, , 
2020/3/12,20.00 ,40.00 , ,16, , 
2020/3/13,31.00 ,14.00 , ,6, , 
2020/3/14,19.00 ,9.00 , ,2, , 
2020/3/15,24.00 ,23.00 , ,11, , 
2020/3/16,28.00 ,11.00 , , , , 
2020/3/17,24.00 ,13.00 , ,1, , 
2020/3/18,22.00 ,27.00 , ,9, , 
2020/3/19,28.00 ,47.00 , ,16, , 
2020/3/20,34.00 ,27.00 , ,12, , 
2020/3/21,32.00 ,19.00 , ,7, , 
2020/3/22,31.00 ,14.00 , ,1, , 
2020/3/23,25.00 ,21.00 , ,2, , 
2020/3/24,40.00 ,29.00 , ,3, , 
2020/3/25,49.00 ,30.00 , ,6, , 
2020/3/26,52.00 ,34.00 , ,11, , 
2020/3/27,57.00 ,28.00 , ,9, , 
2020/3/28,36.00 ,9.00 , ,3, , 
2020/3/29,17.00 , , , , , 
2019/10/1,12.00 ,11.00 , ,13, , 
2019/10/2,30.00 ,13.00 , ,16, , 
2019/10/3,27.00 ,12.00 , ,13, , 
2019/10/4,31.00 ,15.00 , ,13, , 
2019/10/5,30.00 ,15.00 , ,13, , 
2019/10/6,29.00 ,28.00 , ,23, , 
2019/10/7,35.00 ,16.00 , ,25, , 
2019/10/8,33.00 ,11.00 , ,21, , 
2019/10/9,29.00 ,13.00 , ,13, , 
2019/10/10,28.00 ,12.00 , ,18, , 
2019/10/11,30.00 ,16.00 , ,16, , 
2019/10/12,38.00 ,17.00 , ,12, , 
2019/10/13,34.00 ,14.00 , ,13, , 
2019/10/14,29.00 ,12.00 , ,16, , 
2019/10/15,24.00 ,11.00 , ,16, , 
2019/10/16,24.00 ,16.00 , ,14, , 
2019/10/17,24.00 ,17.00 , ,13, , 
2019/10/18,25.00 ,10.00 , ,10, , 
2019/10/19,28.00 ,9.00 , ,10, , 
2019/10/20,25.00 ,13.00 , ,10, , 
2019/10/21,23.00 ,7.00 , ,2, , 
2019/10/22,19.00 ,15.00 , ,13, , 
2019/10/23,30.00 ,33.00 , ,28, , 
2019/10/24,45.00 ,7.00 , ,2, , 
2019/10/25,22.00 ,9.00 , ,9, , 
2019/10/26,24.00 ,21.00 , ,14, , 
2019/10/27,35.00 ,39.00 , ,24, , 
2019/10/28,45.00 ,42.00 , ,28, , 
2019/10/29,45.00 ,50.00 , ,28, , 
2019/10/30,44.00 ,57.00 , ,32, , 
2019/10/31,57.00 ,42.00 , ,23, , 
2019/11/1,45.00 ,22.00 , ,14, , 
2019/11/2,35.00 ,19.00 , ,11, , 
2019/11/3,30.00 ,22.00 , ,13, , 
2019/11/4,29.00 ,35.00 , ,19, , 
2019/11/5,34.00 ,40.00 , ,23, , 
2019/11/6,38.00 ,40.00 , ,26, , 
2019/11/7,42.00 ,19.00 , ,18, , 
2019/11/8,29.00 ,9.00 , ,7, , 
2019/11/9,24.00 ,11.00 , ,15, , 
2019/11/10,32.00 ,17.00 , ,16, , 
2019/11/11,29.00 ,20.00 , ,19, , 
2019/11/12,40.00 ,16.00 , ,25, , 
2019/11/13,40.00 ,16.00 , ,16, , 
2019/11/14,40.00 ,15.00 , ,16, , 
2019/11/15,31.00 ,7.00 , ,6, , 
2019/11/16,18.00 ,9.00 , ,9, , 
2019/11/17,29.00 ,13.00 , ,14, , 
2019/11/18,25.00 ,10.00 , ,16, , 
2019/11/19,32.00 ,14.00 , ,20, , 
2019/11/20,35.00 ,9.00 , ,10, , 
2019/11/21,20.00 ,10.00 , ,13, , 
2019/11/22,25.00 ,8.00 , ,7, , 
2019/11/23,24.00 ,10.00 , ,11, , 
2019/11/24,26.00 ,17.00 , ,16, , 
